02012024;220;A;USD;4,8910;4,8916;1,0000;1,0000
03012024;220;A;USD;4,9206;4,9212;1,0000;1,0000
04012024;220;A;USD;4,9182;4,9188;1,0000;1,0000
05012024;220;A;USD;4,8893;4,8899;1,0000;1,0000
08012024;220;A;USD;4,8844;4,8850;1,0000;1,0000
09012024;220;A;USD;4,8931;4,8937;1,0000;1,0000
10012024;220;A;USD;4,8895;4,8901;1,0000;1,0000
11012024;220;A;USD;4,8788;4,8794;1,0000;1,0000
12012024;220;A;USD;4,8537;4,8543;1,0000;1,0000
15012024;220;A;USD;4,8759;4,8765;1,0000;1,0000
16012024;220;A;USD;4,9032;4,9038;1,0000;1,0000
17012024;220;A;USD;4,9340;4,9346;1,0000;1,0000
18012024;220;A;USD;4,9397;4,9403;1,0000;1,0000
19012024;220;A;USD;4,9217;4,9223;1,0000;1,0000
22012024;220;A;USD;4,9484;4,9490;1,0000;1,0000
23012024;220;A;USD;4,9709;4,9715;1,0000;1,0000
24012024;220;A;USD;4,9186;4,9192;1,0000;1,0000
25012024;220;A;USD;4,9226;4,9232;1,0000;1,0000
26012024;220;A;USD;4,9119;4,9125;1,0000;1,0000
29012024;220;A;USD;4,9219;4,9225;1,0000;1,0000
30012024;220;A;USD;4,9632;4,9638;1,0000;1,0000
31012024;220;A;USD;4,9529;4,9535;1,0000;1,0000
01022024;220;A;USD;4,9344;4,9350;1,0000;1,0000
02022024;220;A;USD;4,9465;4,9471;1,0000;1,0000
05022024;220;A;USD;5,0047;5,0053;1,0000;1,0000
06022024;220;A;USD;4,9681;4,9687;1,0000;1,0000
07022024;220;A;USD;4,9602;4,9608;1,0000;1,0000
08022024;220;A;USD;4,9798;4,9804;1,0000;1,0000
09022024;220;A;USD;4,9711;4,9717;1,0000;1,0000
14022024;220;A;USD;4,9717;4,9723;1,0000;1,0000
15022024;220;A;USD;4,9704;4,9710;1,0000;1,0000
16022024;220;A;USD;4,9755;4,9761;1,0000;1,0000
19022024;220;A;USD;4,9579;4,9585;1,0000;1,0000
20022024;220;A;USD;4,9402;4,9408;1,0000;1,0000
21022024;220;A;USD;4,9297;4,9303;1,0000;1,0000
22022024;220;A;USD;4,9413;4,9419;1,0000;1,0000
23022024;220;A;USD;4,9845;4,9851;1,0000;1,0000
26022024;220;A;USD;4,9813;4,9819;1,0000;1,0000
27022024;220;A;USD;4,9569;4,9575;1,0000;1,0000
28022024;220;A;USD;4,9551;4,9557;1,0000;1,0000
